Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1000001,0000038A,FALSE,Rx,0,4,8,80,A8,20,0,0,0,0
1000002,540,FALSE,Rx,0,8,30,0,FF,0,FF,0,12,26
1000003,000005C0,FALSE,Rx,0,8,0F,0,0,A6,21,0,0,88
1000004,000003D4,FALSE,Rx,0,8,88,87,8F,80,8,0,0,0
1000005,000000AE,FALSE,Rx,0,8,7B,78,0,0,0,0,3,0
1000006,000001A0,FALSE,Rx,0,8,0,40,0,0,FE,FE,0,17
1000007,000002A0,FALSE,Rx,0,8,0,0,0,64,0,0,70,14
1000008,000004A0,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
1000009,320,FALSE,Rx,0,8,20,20,0E,1,0,0F,0,91
1000010,000000D0,FALSE,Rx,0,6,2,E6,2,3C,2A,F0,0,0
1000011,000000C2,FALSE,Rx,0,8,88,80,0,0,80,80,DE,77
1000012,721,FALSE,Rx,0,7,8,1,1,0,0,0,0,0
1000013,440,FALSE,Rx,0,8,20,80,0,FE,7C,0,24,0
1000014,280,FALSE,Rx,0,8,1,15,AC,0C,16,0,15,16
1000015,380,FALSE,Rx,0,8,0,88,0,0,0,0,0,5
1000016,488,FALSE,Rx,0,8,23,16,15,7E,FE,FF,FF,A0
1000017,540,FALSE,Rx,0,8,40,0,FF,0,FF,0,12,EF
1000018,000000D2,FALSE,Rx,0,5,30,34,0,0,4,0,0,0
1000019,0000044C,FALSE,Rx,0,8,B4,1F,43,97,58,2,5,20
1000020,000000AE,FALSE,Rx,0,8,8B,88,0,0,0,0,3,0
1000021,000001A0,FALSE,Rx,0,8,0,40,0,0,FE,FE,0,18
1000022,000001AC,FALSE,Rx,0,8,72,0C,0,0,69,21,F7,C1
1000023,50,FALSE,Rx,0,4,0,AD,E8,45,0,0,0,0
1000024,000002A0,FALSE,Rx,0,8,0,0,0,64,0,0,80,E4
1000025,000003A0,FALSE,Rx,0,8,88,0C,15,A9,FB,8E,42,0F
1000026,000004A0,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
1000027,520,FALSE,Rx,0,8,0A,2,1,C1,16,13,92,2
1000028,000004A8,FALSE,Rx,0,8,48,0,3,90,0,0,C4,1F
1000029,000000C2,FALSE,Rx,0,8,88,80,0,0,80,90,FB,67
1000030,000000D0,FALSE,Rx,0,6,13,F7,2,3C,2A,F0,0,0
1000031,000003D0,FALSE,Rx,0,6,0,0,8,0,C8,7E,0,0
1000032,000005A0,FALSE,Rx,0,8,7C,0,0,C0,0,4B,1E,AB
1000033,440,FALSE,Rx,0,8,20,80,0,FE,7C,0,2C,0
1000034,280,FALSE,Rx,0,8,1,15,A4,0C,16,0,15,16
1000035,284,FALSE,Rx,0,6,0C,0C,0,0,0,0,0,0
1000036,288,FALSE,Rx,0,8,E8,BB,38,0,0,50,A0,0A
1000037,380,FALSE,Rx,0,8,0,88,0,0,0,0,0,5
1000038,480,FALSE,Rx,0,8,D0,0,1F,DD,59,88,6,C5
1000039,488,FALSE,Rx,0,8,33,16,15,7E,FE,FF,FF,B0
1000040,0000048A,FALSE,Rx,0,8,C9,0A,1,2,0,0,0,C0
1000041,588,FALSE,Rx,0,8,E9,70,7E,82,12,80,4,95
1000042,368,FALSE,Rx,0,8,DB,2A,8,FE,7,FE,FE,0
1000043,540,FALSE,Rx,0,8,50,0,FF,0,FF,0,12,EF
1000044,000005C0,FALSE,Rx,0,8,0,0,0,A6,21,0,0,87
1000045,000003D4,FALSE,Rx,0,8,87,88,8F,80,8,0,0,0
1000046,000000AE,FALSE,Rx,0,8,9B,98,0,0,0,0,3,0
1000047,000001A0,FALSE,Rx,0,8,0,40,0,0,FE,FE,0,19
1000048,000002A0,FALSE,Rx,0,8,0,0,0,64,0,0,90,F4
1000049,000004A0,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
1000050,390,FALSE,Rx,0,8,3,0,50,0,40,0,0,0
1000051,392,FALSE,Rx,0,8,8,0,4,21,0,11,68,0
1000052,320,FALSE,Rx,0,8,20,20,0E,1,0,0,0,91
1000053,000000D0,FALSE,Rx,0,6,EC,8,2,3C,2A,F0,0,0
1000054,000000C2,FALSE,Rx,0,8,88,80,0,0,80,A0,94,57
1000055,570,FALSE,Rx,0,5,47,0,AD,0,80,0,0,0
1000056,000005D0,FALSE,Rx,0,8,C0,4,61,0F,39,59,C0,0
1000057,440,FALSE,Rx,0,8,20,80,0,FE,7C,0,34,0
1000058,280,FALSE,Rx,0,8,1,15,A4,0C,16,0,15,16
1000059,380,FALSE,Rx,0,8,0,88,0,0,0,0,0,5
1000060,488,FALSE,Rx,0,8,43,16,15,7E,FE,FF,FF,C0
1000061,0000056A,FALSE,Rx,0,8,8A,2,8,48,18,0,0,D0
1000062,366,FALSE,Rx,0,8,5D,0D,0,0,0,0,80,D0
1000063,000000D2,FALSE,Rx,0,5,31,35,0,0,4,0,0,0
1000064,540,FALSE,Rx,0,8,60,0,FF,0,FF,0,12,EF
1000065,0000056A,FALSE,Rx,0,8,4A,2,8,48,18,0,0,10
