Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1000001,721,FALSE,Rx,0,7,1,3,5,15,2,0,0,0
1000002,280,FALSE,Rx,0,8,40,0B,0,0,0D,0,0C,11
1000003,380,FALSE,Rx,0,8,0,7D,0,0,0,0,0,15
1000004,488,FALSE,Rx,0,8,C3,0D,0,7F,FE,0,FF,B0
1000005,0000058C,FALSE,Rx,0,8,90,E0,0,0,0,0,0,0
1000006,720,FALSE,Rx,0,7,1,3,0D,0,4,0,0,0
1000007,570,FALSE,Rx,0,5,47,20,0,0,1,0,0,0
1000008,000005DC,FALSE,Rx,0,8,77,14,72,7F,1D,0,80,4D
1000009,000007D0,FALSE,Rx,0,8,64,AB,89,82,73,57,8C,1C
1000010,320,FALSE,Rx,0,8,20,0,0,1,0,0,0,81
1000011,5.00E+00,FALSE,Rx,0,8,60,0,FF,0,0,0,5,FB
1000012,280,FALSE,Rx,0,8,41,0B,0,0,0D,0,0C,11
1000013,284,FALSE,Rx,0,6,4,4,0,0,0,0,0,0
1000014,288,FALSE,Rx,0,8,4E,BA,0,0,0,7B,0D,6
1000015,380,FALSE,Rx,0,8,0,7D,0,0,0,0,0,15
1000016,480,FALSE,Rx,0,8,70,20,96,8B,19,88,10,CC
1000017,488,FALSE,Rx,0,8,B3,0D,0,7F,FE,0,FF,C0
1000018,0000048A,FALSE,Rx,0,8,42,0,0,2,0,0,0,40
1000019,588,FALSE,Rx,0,8,E8,0,7F,0,0,0,0,8B
1000020,520,FALSE,Rx,0,8,77,C4,0,BE,38,AB,89,2
1000021,280,FALSE,Rx,0,8,40,0B,0,0,0E,0,0C,11
1000022,380,FALSE,Rx,0,8,0,7D,0,0,0,0,0,15
1000023,488,FALSE,Rx,0,8,A0,0E,0,7F,FE,0,FF,D0
1000024,0000038A,FALSE,Rx,0,4,D8,80,78,20,0,0,0,0
1000025,320,FALSE,Rx,0,8,20,0,0,1,0,1,0,81
1000026,570,FALSE,Rx,0,5,C7,20,0,0,81,0,0,0
1000027,280,FALSE,Rx,0,8,40,0B,0,0,0E,0,0C,11
1000028,284,FALSE,Rx,0,6,5,5,0,0,0,0,0,0
1000029,288,FALSE,Rx,0,8,4E,BA,0,0,0,7B,0E,6
1000030,380,FALSE,Rx,0,8,0,7D,0,0,0,0,0,15
1000031,480,FALSE,Rx,0,8,70,20,96,8B,19,88,10,CC
1000032,488,FALSE,Rx,0,8,90,0E,0,7F,FE,0,FF,E0
1000033,0000048A,FALSE,Rx,0,8,52,0,0,2,0,0,0,50
1000034,588,FALSE,Rx,0,8,E8,0,7F,0,0,0,0,8B
1000035,572,FALSE,Rx,0,1,7,0,0,0,0,0,0,0
1000036,280,FALSE,Rx,0,8,40,0B,0,0,0F,0,0C,11
1000037,380,FALSE,Rx,0,8,0,7D,0,0,0,0,0,15
1000038,488,FALSE,Rx,0,8,81,0F,0,7F,FE,0,FF,F0
1000039,397,FALSE,Rx,0,8,0B,3,8,0,0,0,0,0
1000040,000003B2,FALSE,Rx,0,8,0,80,7,0,0,0,0,0
1000041,320,FALSE,Rx,0,8,22,0,0,1,0,2,0,81
1000042,280,FALSE,Rx,0,8,40,0B,0,0,0F,0,0C,11
1000043,284,FALSE,Rx,0,6,6,6,0,0,0,0,0,0
1000044,288,FALSE,Rx,0,8,4E,BA,0,0,0,7B,0F,6
1000045,380,FALSE,Rx,0,8,0,7D,0,0,0,0,0,15
1000046,480,FALSE,Rx,0,8,70,20,96,8B,19,88,10,CC
1000047,488,FALSE,Rx,0,8,8E,0F,0,7F,FE,0,0,0
1000048,0000048A,FALSE,Rx,0,8,62,0,0,2,0,0,0,60
1000049,588,FALSE,Rx,0,8,E8,0,7F,0,0,0,0,8B
1000050,0000058C,FALSE,Rx,0,8,90,20,0,0,0,0,0,0
1000051,0000038A,FALSE,Rx,0,4,28,80,88,20,0,0,0,0
1000052,41,FALSE,Rx,0,8,89,0,0,0,0,0,0,40
1000053,50,FALSE,Rx,0,4,0,5,8,0D,0,0,0,0
1000054,550,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
1000055,739,FALSE,Rx,0,7,1,2,5,0,4,0,0,0
1000056,280,FALSE,Rx,0,8,40,0B,0,0,10,0,0C,11
1000057,380,FALSE,Rx,0,8,0,7D,0,0,0,0,0,15
1000058,488,FALSE,Rx,0,8,AF,10,0,7F,FE,0,2E,10
1000059,320,FALSE,Rx,0,8,22,0,0,1,0,3,0,81
1000060,000003D4,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
1000061,000005C0,FALSE,Rx,0,8,1,0,0,A6,21,0,0,86
1000062,366,FALSE,Rx,0,8,50,0,0,0,0,0,80,D0
1000063,280,FALSE,Rx,0,8,40,0B,0,0,11,0,0C,11
1000064,284,FALSE,Rx,0,6,7,7,0,0,0,0,0,0
1000065,288,FALSE,Rx,0,8,4E,BA,0,0,0,7B,11,6
1000066,380,FALSE,Rx,0,8,0,7D,0,0,0,0,0,15
1000067,480,FALSE,Rx,0,8,70,20,96,8B,19,88,10,CC
1000068,488,FALSE,Rx,0,8,31,11,0,7F,FE,0,81,20
1000069,0000048A,FALSE,Rx,0,8,72,0,0,2,0,0,0,70
1000070,0000056A,FALSE,Rx,0,8,FB,10,0C,FF,18,0,0,0
1000071,588,FALSE,Rx,0,8,E8,0,7F,0,0,0,0,8B
1000072,497,FALSE,Rx,0,8,0,0,0,0,44,46,0,98
1000073,000005D6,FALSE,Rx,0,5,0,0,0,0,0,0,0,0
