Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1000001,397,FALSE,Rx,0,8,8,8,0,0,0,0,0,0
1000002,720,FALSE,Rx,0,7,1,3,0D,0,4,0,0,0
1000003,000005DC,FALSE,Rx,0,8,77,14,72,7F,1D,0,80,4D
1000004,000007D0,FALSE,Rx,0,8,C4,B9,A1,A2,F3,47,B1,18
1000005,572,FALSE,Rx,0,1,7,0,0,0,0,0,0,0
1000006,320,FALSE,Rx,0,8,1,0,0,1,0,0,0,81
1000007,570,FALSE,Rx,0,5,47,A0,90,0,1,0,0,0
1000008,5.00E+00,FALSE,Rx,0,8,60,0,FF,0,0,0,1,FB
1000009,392,FALSE,Rx,0,8,8,40,3,1,0,0,0,0
1000010,320,FALSE,Rx,0,8,20,0,0,1,0,1,0,81
1000011,000003B2,FALSE,Rx,0,8,0,80,7,0,0,0,0,0
1000012,5.00E+00,FALSE,Rx,0,8,60,0,FF,0,0,0,1,FB
1000013,520,FALSE,Rx,0,8,61,43,1,53,C6,B9,A1,2
1000014,739,FALSE,Rx,0,7,1,2,5,0,4,0,0,0
1000015,320,FALSE,Rx,0,8,22,0,0,1,0,2,0,81
1000016,41,FALSE,Rx,0,8,89,0,0,0,0,0,0,40
1000017,50,FALSE,Rx,0,4,0,0D,8,5,0,0,0,0
1000018,550,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
1000019,0000038A,FALSE,Rx,0,4,A8,80,8,20,0,0,0,0
1000020,000005C0,FALSE,Rx,0,8,1,0,0,A6,21,0,0,86
1000021,320,FALSE,Rx,0,8,22,0,0,1,0,3,0,89
1000022,000003D4,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
1000023,50,FALSE,Rx,0,4,0,0D,18,15,0,0,0,0
1000024,366,FALSE,Rx,0,8,50,0,0,0,0,0,80,D0
1000025,0000056A,FALSE,Rx,0,8,FF,10,8,FF,18,0,0,0
1000026,497,FALSE,Rx,0,8,0,0,0,0,44,46,0,98
1000027,000005D6,FALSE,Rx,0,5,0,0,0,0,0,0,0,0
1000028,000005C0,FALSE,Rx,0,8,2,0,0,A6,21,0,88,0D
1000029,390,FALSE,Rx,0,8,3,0,50,0,40,20,0,0
1000030,392,FALSE,Rx,0,8,8,40,3,1,0,0,0,0
1000031,570,FALSE,Rx,0,5,C7,A0,90,0,1,0,0,0
1000032,000005D0,FALSE,Rx,0,8,C0,4,61,8F,39,59,C0,0
1000033,368,FALSE,Rx,0,8,F0,1,8,FE,7,FE,FE,0
1000034,0000038A,FALSE,Rx,0,4,B8,80,18,20,0,0,0,0
1000035,000003D4,FALSE,Rx,0,8,81,81,0,0,8,0,0,0
1000036,572,FALSE,Rx,0,1,7,0,0,0,0,0,0,0
1000037,320,FALSE,Rx,0,8,22,20,0,1,0,4,0,89
1000038,000000D0,FALSE,Rx,0,6,E0,0,0,30,0,D0,0,0
1000039,397,FALSE,Rx,0,8,9,9,0,0,0,0,0,0
1000040,000005DC,FALSE,Rx,0,8,77,14,72,7F,1D,0,80,4D
1000041,676,FALSE,Rx,0,2,11,41,0,0,0,0,0,0
1000042,50,FALSE,Rx,0,4,0,0D,28,25,0,0,0,0
1000043,000005C0,FALSE,Rx,0,8,3,0,0,A6,21,1,88,0D
1000044,000000D0,FALSE,Rx,0,6,F0,10,0,30,0,D0,0,0
1000045,000003D0,FALSE,Rx,0,6,0,81,0,10,0,54,0,0
1000046,000002B7,FALSE,Rx,0,8,1,1,0,0,0,0,0,0
1000047,368,FALSE,Rx,0,8,F3,2,8,FE,7,FE,FE,0
1000048,000003D4,FALSE,Rx,0,8,82,82,0,0,8,0,0,0
1000049,320,FALSE,Rx,0,8,22,20,0,1,0,5,0,99
1000050,000000D0,FALSE,Rx,0,6,C0,20,0,30,0,D0,0,0
1000051,50,FALSE,Rx,0,4,0,0D,38,35,0,0,0,0
1000052,0000056A,FALSE,Rx,0,8,EF,10,8,FF,18,0,0,10
1000053,366,FALSE,Rx,0,8,51,1,0,0,0,0,80,D0
1000054,0000038A,FALSE,Rx,0,4,88,80,28,20,0,0,0,0
1000055,497,FALSE,Rx,0,8,0,0,0,0,44,46,0,98
1000056,000005C0,FALSE,Rx,0,8,4,0,0,A6,21,1,88,0A
1000057,000000D0,FALSE,Rx,0,6,D0,30,0,30,0,D0,0,0
