Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1000001,720,FALSE,Rx,0,7,1,3,0D,0,4,0,0,0
1000002,000005DC,FALSE,Rx,0,8,77,14,72,7F,1D,0,80,4D
1000003,721,FALSE,Rx,0,7,1,3,5,15,0,0,0,0
1000004,000007D0,FALSE,Rx,0,8,64,AB,89,82,73,57,4,9
1000005,280,FALSE,Rx,0,8,40,0B,0,0,11,0,0C,11
1000006,380,FALSE,Rx,0,8,0,7D,0,0,0,0,0,16
1000007,488,FALSE,Rx,0,8,CF,11,0,7F,FE,0,FF,A0
1000008,0000058C,FALSE,Rx,0,8,90,E0,0,0,0,0,0,0
1000009,0000038A,FALSE,Rx,0,4,C8,80,68,20,0,0,0,0
1000010,320,FALSE,Rx,0,8,20,0,0,1,0,8,0,81
1000011,572,FALSE,Rx,0,1,7,0,0,0,0,0,0,0
1000012,570,FALSE,Rx,0,5,47,20,94,0,1,0,0,0
1000013,280,FALSE,Rx,0,8,41,0B,0,0,11,0,0C,11
1000014,284,FALSE,Rx,0,6,0C,0C,0,0,0,0,0,0
1000015,288,FALSE,Rx,0,8,E8,B8,0,0,0,7B,A0,6
1000016,380,FALSE,Rx,0,8,0,7D,0,0,0,0,0,16
1000017,480,FALSE,Rx,0,8,C0,20,96,8B,19,88,0,6C
1000018,488,FALSE,Rx,0,8,DF,11,0,7F,FE,0,FF,B0
1000019,0000048A,FALSE,Rx,0,8,C2,0,0,2,0,0,0,C0
1000020,588,FALSE,Rx,0,8,E8,0,7F,0,0,0,0,1
1000021,280,FALSE,Rx,0,8,40,0B,0,0,11,0,0C,11
1000022,380,FALSE,Rx,0,8,0,7D,0,0,0,0,0,16
1000023,488,FALSE,Rx,0,8,AF,11,0,7F,FE,0,FF,C0
1000024,5.00E+00,FALSE,Rx,0,8,60,0,FF,0,0,0,85,FB
1000025,320,FALSE,Rx,0,8,20,0,0,1,0,9,0,81
1000026,280,FALSE,Rx,0,8,40,0B,0,0,11,0,0C,11
1000027,284,FALSE,Rx,0,6,0D,0D,0,0,0,0,0,0
1000028,288,FALSE,Rx,0,8,E8,B8,0,0,0,7B,A0,6
1000029,380,FALSE,Rx,0,8,0,7D,0,0,0,0,0,16
1000030,480,FALSE,Rx,0,8,C0,20,96,8B,19,88,0,6C
1000031,488,FALSE,Rx,0,8,BF,11,0,7F,FE,0,FF,D0
1000032,0000048A,FALSE,Rx,0,8,D2,0,0,2,0,0,0,D0
1000033,588,FALSE,Rx,0,8,E8,0,7F,0,0,0,0,1
1000034,0000038A,FALSE,Rx,0,4,D8,80,78,20,0,0,0,0
1000035,570,FALSE,Rx,0,5,C7,20,94,0,81,0,0,0
1000036,000003B2,FALSE,Rx,0,8,0,80,7,0,0,0,0,0
1000037,280,FALSE,Rx,0,8,40,0B,0,0,11,0,0C,11
1000038,380,FALSE,Rx,0,8,0,7D,0,0,0,0,0,16
1000039,488,FALSE,Rx,0,8,8F,11,0,7F,FE,0,FF,E0
1000040,5.00E+00,FALSE,Rx,0,8,60,0,FF,0,0,0,85,FB
1000041,320,FALSE,Rx,0,8,22,0,0,1,0,0A,0,81
1000042,572,FALSE,Rx,0,1,7,0,0,0,0,0,0,0
1000043,280,FALSE,Rx,0,8,40,0B,0,0,11,0,0C,11
1000044,284,FALSE,Rx,0,6,0E,0E,0,0,0,0,0,0
1000045,288,FALSE,Rx,0,8,E8,BB,0,0,0,7B,A0,6
1000046,380,FALSE,Rx,0,8,0,7D,0,0,0,0,0,16
1000047,480,FALSE,Rx,0,8,C0,20,96,8B,19,88,0,6C
1000048,488,FALSE,Rx,0,8,9F,11,0,7F,FE,0,FF,F0
1000049,0000048A,FALSE,Rx,0,8,E2,0,0,2,0,0,0,E0
1000050,397,FALSE,Rx,0,8,0F,7,8,0,0,0,0,0
1000051,588,FALSE,Rx,0,8,E8,0,7F,0,0,0,0,1
1000052,0000058C,FALSE,Rx,0,8,90,20,0,0,0,0,0,0
1000053,420,FALSE,Rx,0,8,9C,98,9C,0,18,1C,FF,0
1000054,739,FALSE,Rx,0,7,1,2,5,0,4,0,0,0
1000055,280,FALSE,Rx,0,8,40,0B,0,0,11,0,0C,11
1000056,380,FALSE,Rx,0,8,0,7D,0,0,0,0,0,16
1000057,488,FALSE,Rx,0,8,90,11,0,7F,FE,0,0,0
1000058,0000038A,FALSE,Rx,0,4,28,80,88,20,0,0,0,0
1000059,000005C0,FALSE,Rx,0,8,1,0,0,A6,21,0,0,86
1000060,320,FALSE,Rx,0,8,22,0,0,1,0,0B,0,81
1000061,280,FALSE,Rx,0,8,40,0B,0,0,11,0,0C,11
1000062,284,FALSE,Rx,0,6,0F,0F,0,0,0,0,0,0
1000063,288,FALSE,Rx,0,8,E8,BB,0,0,0,7B,A0,6
1000064,380,FALSE,Rx,0,8,0,7D,0,0,0,0,0,16
1000065,480,FALSE,Rx,0,8,C0,20,96,8B,19,88,0,6C
1000066,488,FALSE,Rx,0,8,AE,11,0,7F,FE,0,2E,10
1000067,0000048A,FALSE,Rx,0,8,F2,0,0,2,0,0,0,F0
1000068,588,FALSE,Rx,0,8,E8,0,7F,0,0,0,0,1
1000069,000003D4,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
1000070,366,FALSE,Rx,0,8,50,0,0,0,0,0,80,D0
1000071,0000056A,FALSE,Rx,0,8,FB,10,0C,FF,18,0,0,0
1000072,000005D2,FALSE,Rx,0,8,0,AD,89,F7,A2,31,56,57
1000073,497,FALSE,Rx,0,8,0,0,0,0,44,46,0,98
1000074,000005D6,FALSE,Rx,0,5,0,0,0,0,0,0,0,0
1000075,280,FALSE,Rx,0,8,40,0B,0,0,11,0,0C,11
1000076,380,FALSE,Rx,0,8,0,7D,0,0,0,0,0,16
1000077,488,FALSE,Rx,0,8,32,11,0,7F,FE,0,82,20
1000078,368,FALSE,Rx,0,8,F0,1,8,FE,7,FE,FE,0
1000079,0000067A,FALSE,Rx,0,2,12,82,0,0,0,0,0,0
1000080,320,FALSE,Rx,0,8,22,0,0,1,0,0C,0,89
1000081,000005C0,FALSE,Rx,0,8,2,0,0,A6,21,0,0,85
1000082,390,FALSE,Rx,0,8,3,0,50,0,40,20,0,0
1000083,392,FALSE,Rx,0,8,48,40,1,0,0,0,0,0
1000084,570,FALSE,Rx,0,5,C7,20,94,0,81,0,0,0
1000085,000005D0,FALSE,Rx,0,8,C0,4,61,8F,39,59,C0,0
1000086,000003D4,FALSE,Rx,0,8,81,81,0,0,8,0,0,0
1000087,280,FALSE,Rx,0,8,40,0B,0,0,11,0,0C,11
1000088,284,FALSE,Rx,0,6,0,0,0,0,0,0,0,0
1000089,288,FALSE,Rx,0,8,36,BB,0,0,0,7B,A0,6
1000090,380,FALSE,Rx,0,8,0,7D,0,0,0,0,0,16
1000091,480,FALSE,Rx,0,8,19,20,96,8B,19,88,0,B5
1000092,488,FALSE,Rx,0,8,A0,11,0,7F,FE,0,0,30
1000093,0000048A,FALSE,Rx,0,8,2,0,0,2,0,0,0,0
1000094,588,FALSE,Rx,0,8,E8,0,7F,0,0,0,0,1
1000095,676,FALSE,Rx,0,2,11,41,0,0,0,0,0,0
1000096,000000D0,FALSE,Rx,0,6,E0,0,0,30,0,D0,0,0
1000097,0000038A,FALSE,Rx,0,4,38,80,98,20,0,0,0,0
1000098,000005DC,FALSE,Rx,0,8,77,14,72,7F,1D,0,80,4D
1000099,280,FALSE,Rx,0,8,40,0B,0,0,11,0,0C,11
1000100,380,FALSE,Rx,0,8,0,7D,0,0,0,0,0,16
1000101,488,FALSE,Rx,0,8,F6,11,0,7F,FE,0,26,40
1000102,000000D0,FALSE,Rx,0,6,F0,10,0,30,0,D0,0,0
1000103,000003D0,FALSE,Rx,0,6,0,81,0,0,0,79,0,0
1000104,000002B7,FALSE,Rx,0,8,1,1,0,0,0,0,0,0
1000105,368,FALSE,Rx,0,8,F3,2,8,FE,7,FE,FE,0
1000106,320,FALSE,Rx,0,8,22,30,0,1,0,0D,0,89
1000107,000005C0,FALSE,Rx,0,8,3,0,0,A6,21,0,8,8C
1000108,280,FALSE,Rx,0,8,40,0B,0,0,11,0,0C,11
1000109,284,FALSE,Rx,0,6,1,1,0,0,0,0,0,0
1000110,288,FALSE,Rx,0,8,36,BB,0,0,0,7B,A0,6
1000111,000000AE,FALSE,Rx,0,8,0,1,0,0,0,0,1,0
